id,title_ja,title_kana,title_romaji,title_en,aliases,media_type,release_start,release_end,episode_count,runtime_min,series_id,season_number,genres,tags,target_demographic,setting,era,themes,original_type,original_title,original_author,original_artist,original_publisher,original_label,original_magazine,original_platform,animation_studio,co_animation_studio,animation_cooperation,production_name,production_committee,production_members,production_lead_company,planning,executive_producers,producers,animation_producers,line_producers,director,chief_director,series_composition,character_original_design,character_design,music,sound_director,staff,characters,opening_themes,ending_themes,insert_songs,music_production,soundtrack_label,broadcast_networks,broadcast_slots,streaming_services,film_distributor,theatrical_release_date,relations,episodes,episode_staff,awards,synopsis,image_url,official_url,official_x,official_youtube,official_other,external_ids,updated_at
A00000044,天地創造デザイン部,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::7edae565744dc63a9689ceee06d9fd4c8de90a5d47b818c7f79c6b08bec0fbff,2026-09-12
A00000045,Vivy -Fluorite Eye's Song-,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::de488ab9ef536ff5de80b67bd29f255b5e3e2e5d845de233a2f247613ed72ff5,2026-09-12
A00000046,処刑少女の生きる道,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::6d456693e9ddd42467f2e9d78ea64e8912ccfc615e7a79f0ef23a3f77a47d929,2026-09-12
A00000047,平穏世代の韋駄天達,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::4e1f0f5d3e898eb2ec31cd4dd22996352a9697a4419bf59cf92fac37c765e885,2026-09-12
A00000048,ぼくたちのリメイク,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::54076433bb77258d767dca52b07ae4c926665e16cbc787235a38b8ee4209250b,2026-09-12
A00000049,ブルーピリオド,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::58d0b8c041affa991bb472f85fa99f7d9ede244abe3aa91b40ae0f0791f61fd1,2026-09-12
A00000050,カノジョも彼女,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::f7e9150b71f8ff4541e83e1b87800b3cd4419b93667f80936418e6693f866de3,2026-09-12
A00000051,死神坊ちゃんと黒メイド,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::d2d3f9ecf7ca91e2b7adcb1b30fb55c509c10ccd47995d50af5967814f76e5ce,2026-09-12
A00000052,LASTEXILE,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::43485430f0ed0ff9c7caa9e21e9dfc557ffb22aaa186ec20fc48677c303a0774,2026-09-12
A00000053,それでも歩は寄せてくる,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::b1d76edd297f07763a9de6d5806f9cc9bdef2fa8905ce5787dc544bb96d32435,2026-09-12
A00000054,俺の彼女と幼なじみが修羅場すぎる,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::e901d7050eae4684dddb636ef6acff7b7b7f824d3879aa8c3b651f7cc877f71c,2026-09-12
