id,title_ja,title_kana,title_romaji,title_en,aliases,media_type,release_start,release_end,episode_count,runtime_min,series_id,season_number,genres,tags,target_demographic,setting,era,themes,original_type,original_title,original_author,original_artist,original_publisher,original_label,original_magazine,original_platform,animation_studio,co_animation_studio,animation_cooperation,production_name,production_committee,production_members,production_lead_company,planning,executive_producers,producers,animation_producers,line_producers,director,chief_director,series_composition,character_original_design,character_design,music,sound_director,staff,characters,opening_themes,ending_themes,insert_songs,music_production,soundtrack_label,broadcast_networks,broadcast_slots,streaming_services,film_distributor,theatrical_release_date,relations,episodes,episode_staff,awards,synopsis,image_url,official_url,official_x,official_youtube,official_other,external_ids,updated_at
A00000041,青春ブタ野郎はランドセルガールの夢を見ない,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-01,,,,,,,,,,,discovery-key::2058018fff7be68544616284b15d811b1364f67c401c6f2fb1f45ec456e2297e,2026-09-10
A00000042,転生したら剣でしたII,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::6321ea31abbf260cf78c3fd6c450574d539070dd6e1665ea749edc9d8df6d406,2026-09-10
A00000043,甘神さんちの縁結び,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::c30b09f86b86d9d63535c0cf139de858b7222fb3a9f7ecfe768eeb98785915d2,2026-09-10
A00000044,夏目友人帳 漆,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::9b65a6004726a51c9bab5b7c981ffbf064d432e68f749a0da9c17312b1ec050a,2026-09-10
A00000045,ぼっち・ざ・ろっく!,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::ab28a43772457bdad5ea69837ad7df70961b43e03f7ef66c80b6d5b600f3da00,2026-09-10
A00000046,陰の実力者になりたくて! 2nd season,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::0fa3ced61926c7d34b10bc5cecabf42d4db670d95263b8e8a27a4dcf487207e9,2026-09-10
A00000047,ONE PIECE FILM RED,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-06,,,,,,,,,,,discovery-key::ebc11f8af52c821de53bf6eb907e2ab5af5abdc2f449622153ed5eb8808d1f85,2026-09-10
A00000048,すずめの戸締まり,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::d277bcd23d077fb888c7ffb57ee9346c2995dfac0c61c056ebd312dfeaf392ed,2026-09-10
A00000049,姫様“拷問”の時間です,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::bd7d7e5e94114ddef40931896ff7497055fbb934ea24110333d381998be85463,2026-09-10
A00000050,ONE PIECE,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::476e42f1152a32f2e5333664647c5fb8cdf8240d90dd803b02fb8bcdd9802356,2026-09-10
